영단어|한국단어|설명
UN Number|유엔번호|위험물 운송 전문가 위원회(UN TDG)가 위험물을 식별하기 위하여 부여한 4자리 숫자의 고유번호. 예로, 페인트는 1263, 에틸알코올 수용액의 유엔 번호는 1170, 리튬이온배터리의 유엔 번호는 3480.
UN TDG|UN 위험물 운송 전문가 위원회|UN SCETDG (UN Sub-Committee of Experts on the Transport of Dangerous Goods), 유엔 경제사회이사회 하부의 위험물 운송 전문가 위원회로서 항공, 도로, 철도나 선박 등의 모든 운송 형태에 적용할 수 있는 위험물 운송에 관한 권고(UN 모델 규정) 제·개정하는 회의체이며, 스위스 제네바에서 개최됨
UN/EDIFACT|행정·상업·운송을 위한 전자데이터 교환|국제연합(UN) 유렵경제위원회(ECE, Economic Commission for Europe)를 중심으로 제정한 국제 전자자료교환(EDI) 표준
UNATTENDED MACHINERY AUTOMATION|KR(한국선급) 무인화 등급|NULL
UNATTENDED MACHINERY SPACE|GL(독일 선급) 무인화등급|NULL
UNBALANCED CIRCUIT|불평형 회로|NULL
UNBALANCED CURRENT|불평형 전류|NULL
UNBALANCED LOAD|불평형 부하|NULL
UNCLOS|유엔해양법협약|UNCLOS (United Nations Convention on the Law of the Sea), 1982년 4월 해양에서의 기득권을 고수하려는 선진국과 인류 공동의 유산임을 주장하는 개도국 간의 논의 결과로 탄생. 협약이 발효된 것은 1994년 11월 16일이며, 영해·접속수역· 등 해양의 모든 영역과 해양환경·해양과학 조사·해양기술 이전·분쟁 해결 등이 이 협약의 적용을 받음 Port Reception Facility (
UNCLOS (United Nations Convention on the Law of the Sea)|유엔해양법협약|바다의 헌법이라고 불리는 UNCLOS는 해양에서의 기득권을 고수하려는 선진국과 해양이 인류 공동유산임을 주장하는 개도국 간 논의의 결과로 1982년 12월 10일 채택하여, 1994년 11월 16일 협약이 발효됨 2020년 현재 우리나라를 포함하여 168개국이 비준을 마쳤음. UNCLOS는 포괄적인 해양헌장으로서 영해, 접속수역, 대륙붕, 공해, 심해저 등 해양의 모든 영역과 해양환경, 해양과학조사, 해양기술 이전, 분쟁 해결제도 등이 포함되어 있음. 그리고 국가 담당 수역에 관한 전통적인 국제해양법의 보완 및 발전(예를 들어, 200해리 배타적 경제수역(EEZ) 제도, 12해리 영해 제도 확립 등)과 공해상의 심해저 개발과 관련 “국제 해저 기구”를 설립하여 심해저 자원의 개발 및 무분별한 개발을 규제토록 하고 해양환경 보호 및 해양과학조사 분야 등에 있어서 기본법규 확립과 해양분쟁 해결을 위한 “국제해양법재판소” 설립 등을 주요 내용으로 삼고 있음. 전문, 본문 17부 320개조, 9개 부속서, 6개 특별부속서, 4개 특별결의로 구성됨
UNDAF|유엔개발원조프레임워크|UNDFA (The United Nations Development Assistance Framework), 회원국 정부와 유엔 각국 사무소 간 개발 목표를 설정하기 위한 행동강령 및 전략을 마련하는 과정을 지칭함
UNDERWRITERS LABORATORIES INC.|미국 화재보험협회|NULL
UNDESA|유엔경제사회처|UNDESA (United Nations Department of Economic and Social Affairs), 범지구적인 사회적·환경적 문제를 해결하기 위한 유엔 차원의 의사 결정 및 2030 지속가능 발전 목표 달성을 도모하기 활동을 주로 함
UNDG|유엔개발그룹|UNDG (The United Nations Development Group), 유엔개발 그룹은 유엔의 개혁안에 따라 1997년 유엔 사무총장이 설치한, 유엔의 개발 활동의 효과를 개선하기 위한 협력 단체임. 본부는 미국 뉴욕에 있음
UNDP|유엔 개발 계획|UNDP (United Nations Development Programme), UNDP는 UN의 글로벌 개발 네트워크로서 변화를 지지하며 국가들의 지식, 경험 및 자원을 연결하여 나은 삶을 살 수 있도록 지원하는 기구임. 170여 개의 국가와 영토에서 사무소를 운영하고 있으며, 글로벌 및 국가들의 개발 과제를 해결하기 위해 협력함
UNEP|유엔 환경 계획|UNEP (United Nations Environment Programme), UNEP는 환경에 관한 유엔의 활동을 조정하는 기구임. 1973년 설립되었으며 케냐 나이로비에 본부를 두고 있음. 환경과 관련된 다른 국제기구나 국가에 경비와 인력을 지원하는 업무를 주로 함
UNEQUAL ANGLE|부등변 형강재(산형재)|NULL
UNFCCC|유엔기후변화협약|UNFCCC(United Nation Framework Convention on Climate Change), 지구온난화 방지를 위해 온실가스 배출을 규제하기 위한 협약. 정식명칭은 ‘기후변화에 관한 기본협약’이며 1992년 5월 9일 채택되어, 1994년 3월 21일 발효됨. 2020년 5월 기준 196개 국가와 유럽연합(EU)을 합쳐 총 197개 당사국이 협약을 채택하여 거의 모든 국가가 기후변화협약 당사국임
UNIJUNCTION TRANSISTOR|단접합 트랜지스터|NULL
UNINTERRUPTIBLE POWER SUPPLY|무정전 전원장치|NULL
UNION ESPANOLA DE CONSTRUCTOR NAVALES|스페인 조선공업협회(87년 설립)|NULL
UNIT OF MEASUREMENT|계획 수량|NULL
UNITAR|유엔훈련연구기구|UNITAR (United Nations Institute for Training and Research), 유엔훈련연구기구는 전 세계 유엔 회원국의 능력배양을 위해 1965년 설립되어, 환경, 평화, 안보, 외교, 거버넌스 분야의 연수 프로그램을 운영하고 있음
UNITED NATIONS|국제 연합|NULL
UNITED NATIONS CONFERENCE on TRAD AND DEVELOPMENT|국제연합 통상개발회의|NULL
UNITED NATIONS ENVIRONMENTAL PROGRAM|환경보호 문제를 담당하기 위해 만들어진 UN 산하기구|NULL
UNITED STATES COAST GUARD|미국 연안경비대|NULL
UNITED STATES TRADE REPRESENTATIVE|미국 무역대표부|NULL
UNJSPF|유엔합동직원연금기금|UNJSPF (United Nations Joint Staff Pension Fund), 1949년에 설립된 국제기구로, 본부는 미국 뉴욕에 있음. 국제연합의 직원과 단체를 대상으로, 사망, 상해, 퇴직 시 연금을 원활하게 지급하기 위해 설립된 기구임
UNODC (UN Office on Drugs and Crime)|유엔마약범죄사무소|UNODC는 1990년 제45차 유엔총회 결의로 마약퇴치 활동을 전개하는 집행기구로서 1991년 9월 유엔마약통제계획(United Nations Drug Control PROGRAMME) 설립을 설립함. 1997년 11월 UN 내 마약 및 범죄 관련 업무 간의 유기적인 협조 관계 수립을 위해 UNDCP과 국제범죄방지센터(CICP)를 통합하여 마약 통제 및 범죄예방 사무소(ODCCP)를 설립하였으며, 2002년 10월 현재의 UNODC(UN Office on Drugs and Crime)로 명칭 변경함 UNODC는 해적지도자와 테러리스트 또는 범죄조직 간의 연계 가능성 등을 파악하는 데 노력하기도 함
UNSOM|유엔소말리아지원단|UNSOM (The United Nations Assistance Mission in Somalia), 유엔안전보장이사회 결의에 따라 소말리아 지역의 인권 신장과 인도주의적 활동 등을 목적으로 2013년에 설립됨. 유엔안전보장이사회에서 정기적으로 활동 내용을 보고하고 있음
UNSP barges|비자항 무인부선|UNSP(Unmanned Non-Self Propelled) barges, 동력장치가 없는 선박 형태의 바지선
UPPER DECK|상갑판|NULL
UPS(Uninterruptable Power Supply|무정전 전원장치|NULL
UR (Uruguay) Round|우루구와이 라운드|NULL
USCG|미국 해안경비대|USCG (United States Coast Guard), 미국 국토안보부 산하의 해안경비 및 구난을 목적으로 하는 군사 조직임. 1790년에 창설되었으며, 해양에서의 인명구조부터 환자수송, 국경 지역 경계 및 밀수 단속 등의 경찰 업무를 수행함
USCG (United States Coast Guard|미국 연안경비대|NULL
USER'S DESIGN|사용주의설계사양서|NULL
USER'S DESIGN SPECIFICATION|사용주의설계사양서|NULL
UT (Ultrasonic Test|초음파 탐상 시험|NULL
UT : Ultrasonic Test|유티|초음파탐상시험 참조
UV (Ultra Violet) Sterilizer|자외선 살균기|NULL
UVP (Under voltage Protection|저전압(低電壓) 보호|NULL
UVR (Under voltage Release|저전압 해방 (자동 복귀|NULL
Ullage|얼리지|탱크 내 빈공간의 용적
Ullage Port|유면측정(油面測定)공|NULL
Ullage Table|얼리지표|NULL
Ultimate Strength|최종강도|구조물이 견디는 최대하중
Ultra High Frequency|극초단파|NULL
Ultrasonic Test : UT|울트라소닉 테스트|초음파탐상시험 참조
Ultrasonic Thickness Gauging|초음파 두께측정|NULL
Ultrasonic Welding|초음파용접|초음파를 발생하는 두 개의 진동음극 사이에 접합재를 끼우고 압력을 가하여 접합하는 용접법
Ultraviolet Dosimeter|자외선 측정기|NULL
Unattended Machinery Automation Ship : UMA|기관구역무인화선|기관실 당직자가 없이도 운항할 수 있는 설비를 갖춘 선박
Unbalance|불평형(不平衡|NULL
Unbalanced Circuit|불평형 회로|NULL
Unbalanced Current|불평형 전류|NULL
Unbalanced Load|불평형 부하|NULL
Unbalanced Load|불평형 하중|NULL
Unbalanced Rudder|불평형타|수압을 받는 면이 타 회전축의 후방에 있는 타
Under Construction|건조중(建造中|NULL
Underbead Crack|비드밑 균열|용접금속에서 모재의 열영향부로 확산된 수소의 영향으로 비드의 밑에 나타나는 균열로 표면에서는 볼 수 없음
Undercut|언더컷|용접 가장자리에서 모재가 녹으면서 패인 부분이 용착재로 덮이지 못해 나타나는 홈
Underdeck Area|덱크하부 구역|NULL
Underground Drainage|지하 배수설비|NULL
Underground Water|지하수(地下水|NULL
Underlaying|밑깔기 용접|덧대기용접시에 용접살이 떨어지거나 터지는 것을 막기 위해 미리 모재에 터지지 않는 금속을 깔아주는 것
Underwater Cutting|수중절단|수중에서 특수한 팁을 사용하여 수소와 산소의 혼합가스를 연료로 연소시켜 절단금속을 가열하고 여기에 산소나 압축공기를 분사하여 절단하는 방법
Underwater Inspection|수중검사(水中檢査|NULL
Underwater Observation Boat|해중투시선|바다 속을 육안으로 관측하는 장치를 갖춘 선박
Underwater Welding|수중용접|수중에서 피복제 중에 많은 철분을 함유시킨 용접봉으로 아크를 발생하여 행하는 용접
Underwater welding|수중용접(水中熔接|NULL
Underwriter|해상보험업자|해상보험업에 종사하는 사람
Underwriters Laboratories|미국 화재보험협회|NULL
Undrewater Telephone|수중통화기|수중과 수중 또는 수상과 수중끼리 통화할 수 있는 초음파통화기
Unequal Angle|부등변 산형강|NULL
UniJunction Transistor|단접합 트랜지스터|NULL
Uninterruptible Power Supply|무정전 전원장치|NULL
Union Joint|유니언연결|유니언나사와 유니언플랜지 사이에 개스킷을 끼우고 유니언너트로 조여서 연결하는 이음방식
Unionmelt Welding|유니언멜트식 용접|서브머지드멜트용접(Submerged Melt Welding)과 동일
Unique tracking number|고유번호|전자증서의 일련의 숫자, 문자 및/또는 기호를 의미함. 주관청 및 그와 같은 기관에 의해 승인된 전자 인증서를 식별하기 위한 번호
Unit Assembly|소조립(小組立|NULL
Unit Length|단위 길이|NULL
Unit Outfitting (Machinery unit/ Pipe Unit|유니트 의장|NULL
Unit Switch|유닛스위치|선박용 분전상자 내의 분기회로를 신속히 통전하거나 차단하는데 사용되는 자동스위치
Unit of Scale|척도 단위|NULL
Universal Chock|유니버어설 초크|NULL
Universal Fairlead|유니버설페어리드|롤러를 통하여 상하좌우 어느방향으로든지 로프를 유도할 수 있는 페어리드
Universal Joint|만능(萬能) 이음|NULL
Unlawful practices|불법행위(불법관행)|고의나 과실에 의하여 타인의 권리를 침해하여 손해를 발생시키는 행위를 말함. 채무불이행으로 인한 손해배상책임과 더불어 채권 발생의 2대 원인이 됨. 불법행위로 생긴 손해는 가해자가 배상하여야 하는데, 그 손해에는 재산상의 손해 및 재산 이외의 손해도 포함됨. 불법행위의 요건으로는 먼저 고의 또는 과실이 있는 가해행위가 존재해야 하며, 그 행위에 위법성이 있고, 가해자가 책임능력이 있고, 피해자의 손해가 발행하였으며 가해행위와 손해 사이에 인과관계가 있으면 민법상 손해배상을 청구할 수 있는 불법행위의 일반요건이 성립됨
Unlimited Waters|무제한 수역|제한 수역 이외의 수역을 말함
Unmanned Control|무인 조정(無人調整|NULL
Unstable Equilibrium|불안정평형|배의 무게중심이 메타센터보다 위쪽에 있는 불안정한(Top Heavy) 상태
Unsymmetrical|비대칭(非對稱|NULL
Upper Bridge Deck|상부선교갑판|선교루갑판 윗층의 갑판
Upper Deck|상갑판(上甲板|NULL
Upper Turn of Bilge|외판만곡부상단|선저만곡부(빌지부)의 상단
Upper-tween Decks|상층갑판공간|상갑판과 1층갑판 사이의 공간
Uppermost Cotinuous Deck|최상전통갑판|선수에서 선미까지 뻗은 갑판 중에서 최상층의 갑판
Upset Welding|업셋용접|저항용접의 일종으로 마주보는 연결부에 전류를 통하여 저항열에 의해 용융점에 도달되면 압력을 가하여 접합시키는 용접방법
Upsetting Moment|전복모멘트|배를 직립 평형위치로부터 어떤 각도까지 경사시키는 데 필요한 모멘트
Upside Down|반전(反轉|NULL
Upstream|상류(上流|NULL
Uptake|연돌(煙突|NULL
Upward Trend|상승 추세(上昇趨勢|NULL
Urinal|소변기(小便器|NULL
Usability Test|사용성능 시험|NULL
Usability Test|유용성검사|유용성을 판정하는 검사
Use Overtime or Shift Working|잔업 또는 교대근무 활용|NULL
User Centered Design (UCD)|사용자 중심 설계|제품의 계획, 설계 및 개발 단계에서 사용자(인간)의 특성과 작업환경을 고려하여 작업자의 작업 목표가 안전하고 편리하게 성취될 수 있도록 하는 설계 개념
User interface design|사용자 인터페이스 설계|사용하기 편한 시스템(제품)을 만들기 위해 사용자와 시스템(제품) 사이의 상호 정보교환의 문제점을 지각적, 인지적 측면에서 밝혀내고 이를 체계화하는 과정
Utility and Electrical Service|공무 지원(工務支援|NULL
V Belt Drive|브이벨트구동|NULL
VACUUM CIRCUIT BREAKER|진공 차단기|NULL
VACUUM ELECTRIC FURNACE|진공 전기로|NULL
VACUUM INTERRUPTER|진공 인터럽터|NULL
VACUUM LOADBREAKER SWITCH|진공 개폐기|NULL
VACUUM PRESSURE IMPREGNATION|진공 주입 ( 함침 )|NULL
VACUUM PRESSURE IMPREGNATION|진공 함침|NULL
VACUUM TUBE VOLT METER|진공관 전압계|NULL
VALUE ADDED NETWORK|부가가치 통신망|NULL
VALUE ADDED TAX|부가 가치세|NULL
VALUE ANALYSIS|가치 분석|NULL
VALUE ENGINEERING|가치 공학|NULL
VAPOR PHASE INHIBITOR|기화성방청제|NULL
VARIABLE FREQUENCY OSCILLATOR|가변 주파수 발진기|NULL
VARIABLE VOLTAGE VARIABLE FREQUENCY|가변 전압 가변 주파수|NULL
VCG (Vertical Center of Gravity|수직 중심(垂直重心|NULL
VCI (Volatile Corrosion Inhibitor|기화성 부식억제제|NULL
VDE (Verband Deutscher Elektrotechniker|독일전기공학회|NULL
VDES|VHF 데이터 교환 시스템|VDES (VHF Data Exchange System) VHF(초단파 주파수) 대역을 활용하여 해상안전 보안 및 항해 관련 정보를 고속으로 송수신 할 수 있는 해상 디지털통신 시스템, 최대통달거리 : 120km, 최대속도 : 307kbps
VDR|항해자료기록장치|VDR (Voyage Data Recorder), 항공기의 블랙박스와 같은 장치로서, 해양사고 조사를 돕기 위하여 선박 운항 중 선박의 위치, 속력, 타각, 통신내용 등 각종 운항자료를 기록하는 장치
VDU (Visual Display Unit|영상지시장치|NULL
VEILING GLARE|광막 글레어|NULL
VEILING LUMINANCE|광막휘도|NULL
VEILING REFLECTION|광막반사|NULL
VENDOR DEVIATION|사양불일치승인요청서|NULL
VENDOR DEVIATION REQUEST|사양불일치승인요청서|NULL
VENTILATION, VENTILATOR|통풍, 통풍기|NULL
VERBAND DEUTSHER ELECTROTECHNIKER|독일 전기 기자협회|NULL
VERIFICATION|확인 ( 검증|NULL
VERIFICATION|확인(검증)|NULL
VERTICAL|수직|NULL
VERTICAL CENTER OF BUOYANCY ABOVE BASE LINE|부력 중심의 종방향 높이|NULL
VERTICAL CENTER OF GRAVITY|무게중심의 수직방향 높이|NULL
VERTICAL CENTER OF GRAVITY ABOVE BASE LINE|선체무게 중심의 종방향 높이|NULL
VERTICAL DOWNWARD|수직 하진|NULL
VERTICAL LADDER|수직 사다리|NULL
VERTICAL LADDER|수직사다리|NULL
VERTICAL POSITION|수직 자세|NULL
VERTICAL POSITION WELDING|수직 자세 용접|NULL
VERTICAL PRISMATIC COEFFICIENT|연직주형 계수|NULL
VERTICAL UPWARD|수직 상진|NULL
VERY HIGH FREQUENCY|초단파|NULL
VERY HIGH FREQUENCY|초단판|NULL
VERY LARGE BULK CARRIER|대형 BULK 운송선|NULL
VERY LARGE CRUDE OIL CARRIER|175,000DWT 이상 30만DWT 이하의 대형 TANKER|NULL
VESSEL OPERATION COMMON CARRIER|COMMON CARRIER로서 자신이 직접 선박을 보유하고 있는 운송인|NULL
VESTIGIAL SIDE BAND|잔류 측파대|NULL
VGFSP|자발적 기국이행 지침|VGFSP(Voluntary Guidelines for Flag State Performance), 식량농업기구(FAO) 차원에서 개발한 지침으로써 IUU 어업 활동 방지를 포함한 선박 모니터링 및 관련 정보교환과 협력에 관한 자발적 성격의 지침임
VGM|컨테이너 총중량 검증제도|VGM (Verified Gross Mass of a Container Carrying Cargo), 선박, 인명 및 화물의 안전을 확보하기 위하여 해상인명안전협약 (SOLAS)에서 요구하는 선적 예정 화물 컨테이너의 총중량 검증에 관한 제도.
VHF (Very High Frequency|초단파(超短波|NULL
VHF Radio|초단파대역 무선통신장비|VHF Radio (Very High Frequency Radio), 30∼300 MHz 주파수 대역을 사용하는 선박무선 통신장치, 최대통달거리 : 120km
VICKERS HARDNESS|비커스 경도|NULL
VIDEO RESPONSE SYSTEM|화상 응답 시스템|NULL
VIMSAS|자발적 회원국감사|VIMSAS (Voluntary IMO Member State Audit Scheme), 는 SOLAS, MARPOL, COLREG, LL, STCW 및 Tonnage 협약을 수용한 IMO 회원국에 대해 동 협약 들의 회원국 적용 상태를 점검하기 위해 시작되었음. VIMSAS를 통해 2006년부터 2015년 10월까지 75개 IMO 회원국이 자발적으로 감사를 받았고 대한민국은 2007년 4월 9일부터 16일 사이에 관련 수감을 한 이력이 있음. 이후 VIMSAS는 해사안전위원회 제91차 회의와 해양환경보호위원회 제64차 회의를 통해 2016년 1월 1일부터 강제적 회원국감사제도(IMSAS)로 변경 적용됨
VISIBLE RADIATION|가시 방사|NULL
VISUAL DISPLAY TERMINAL|영상 표시 단말장치|NULL
VISUAL FLUORESCENT DISPLAY|가시형광 표시장치|NULL
VISUAL INSPECTION|용접외관검사|NULL
VISUAL TEST|육안검사|NULL
VIT (Variable Injection Timing|가변분사시기 조정|NULL
VLBC(Very Large Bulk Carrier|초대형 살물선 (１８０－２００Ｋ）|NULL
VLCC(Very Large Crude Oil Carrier|초대형 원유 운반선 (１７５－３００Ｋ）|NULL
VLOC (Very Large Ore Carrier|초대형광석운반선|NULL
VMS|선박 모니터링 시스템|VMS (Vessel Monitoring System) 선박의 위치, 이동 경로, 항해 속도 등 해상교통상황을 실시간으로 전자해도 화면상에 모니터링하는 시스템
VMS (Voyage Management System|항해종합관리시스템|NULL
VOC (Volatile Organic Compounds|휘발성 유기물질|NULL
VOLTAGE|공칭 전압|NULL
VOLTAGE|전압|NULL
VOLTAGE CONTROLLED OSCILLATOR|전압제어 발진기|NULL
VOLTAGE FREQUENCY CONVERTER|전압 주파수 변환기|NULL
VOLTAGE STANDING WAVE RATIO|전압 정재파비|NULL
VOLTS ALTERNATING CURRENT|교류 전압|NULL
VOLUME UNIT|음량 단위|NULL
VRC (Valve Remote Control|원격제어 밸브|NULL
VTS|해상교통관제시스템|VTS (Vessel Traffic Service) 통항 선박의 동정을 관찰하고 항행 안전 정보를 제공하는 시스템
Vacuum|진공|NULL
Vacuum Box|진공누설시험 지그|NULL
Vacuum Breaker|진공차단기|차단기를 개폐할 때 생기는 전기 스파크를 막기 위하여 파단장치를 진공 속에 둔 밀폐형 차단기
Vacuum Circuit Breaker|진공 차단기|NULL
Vacuum Cleaner|진공 소제기|NULL
Vacuum Cleaner|진공청소기|전동팬으로 먼지를 공기와 같이 빨아들여 먼지만 걸러 담고 공기는 내보내는 장치로 바닥의 먼지 등을 청소할 때 사용하는 기계
Vacuum Distillation|감압증류(減壓蒸溜|NULL
Vacuum Electric Furnace|진공 전기로|NULL
Vacuum Gauge|진공계|공간의 진공도를 측정하는 압력계
Vacuum Interrupter|진공 인터럽터|NULL
Vacuum Loadbreaker Switch|진공 개폐기|NULL
Vacuum Pressure|진공 주입 ( 함침 )|NULL
Vacuum Pressure|진공 함침|NULL
Vacuum Pump|진공 펌프|NULL
Vacuum Test|진공 시험(眞空試驗|NULL
Vacuum Tube Volt Meter|진공관 전압계|NULL
Value Added Network|부가가치 통신망|NULL
Value Analysis|가치 분석(價値分析|NULL
Value Engineering|가치공학(價値工學|NULL
Valve List|밸브 목록표|NULL
Valve Spindle Spnner|밸브스패너|밸브핸들을 돌릴 때 사용하는 갈퀴와 손잡이가 있는 봉
Valve Sticking|밸브용화|밸브장치가 외적인 요인으로 작동이 불량해진 상태
Vanish|바니시|유성도료의 일종
Vapor Lock|베이퍼록|연료유관 내에 증기가 차서 연료유펌프에서 연료공급이 안되는 상태
Vaporizing Chamber|증발실(蒸發室|NULL
Vapour Lock|증기폐색(蒸氣閉塞|NULL
Variable Frequency|가변 주파수 발진기|NULL
Variable Pitch Propeller|불균일피치프로펠러|반지름방향으로 피치가 변화되는 프로펠러
Variable Speed|가변속도(可變速度|NULL
Variable Voltage Variable|가변 전압 가변 주파수|NULL
Variable Voltage Welding Machine|가변전압용접기|전류의 증가에 따라 전압이 자동변화하는 형식의 아크용접기
Varnish|와니스 (니스|NULL
Vedette Boat|함재초계정|큰 함정에 싣고 다니는 고속초계정
Vegetable Chamber|채소창고|선내 냉장고 안에 채소저장에 적합하도록 만들어진 공간
Vehicle-carring Ship|차량운반선|자동차나 열차와 같은 수송차량을 운송하는 배
Veiling glare|광막 글레어|NULL
Veiling luminance|광막휘도|NULL
Veiling reflection|광막반사|NULL
Vendor Drawing (V/D|제작자도면|NULL
Vendor Guarantee|제조회사 보증|NULL
Vendor Information|제조업체 정보|NULL
Vendor Lead Time|제조업체 소요기간|NULL
Venecian Door|베니션도어|통풍이 잘되도록 살이 끼워진 문
Veneer|베니어|두께가 약 1/20inch 이하인 얇은 목판
Veneer Board|베니어판|얇은 목판을 결이 서로 직교하도록 겹쳐붙인 판재
Vent (Hole)|통기구멍|유류운반선의 해치커버에 통기를 위해 마련된 구멍
Vent Pipe|벤트관|화물유탱크내의 과압과 부압의 방지를 위한 통기관
Ventilating Flap|통풍플랩|기과실 통풍을 위해 천장에 설치하는 힌지식 개폐창문
Ventilation Flap|통풍 플랩|NULL
Ventilation Plan|통풍관배치도|선박의 자연통풍과 인공통풍용 통풍관의 배치와 상세를 나타낸 도면
Ventilation Trunk|통풍트렁크|송풍기류를 보내기 위한 풍로
Ventilator|통풍통(通風筒|NULL
Verband Deutsher|독일 전기 기자협회|NULL
Vernier Caliper|부척(副尺) 캘리퍼|NULL
Vertical (Position) Welding|직립용접|수직선과 45도 이내의 용접물에 대하여 상하방향으로 용접하는 것
Vertical Boiler|직립형보일러|작은 용량의 저압증기발생에 쓰이는 원통형 세로보일러
Vertical Coupling|수직연결|타주와 타두를 연결하는 수직 커플링
Vertical Downhand Welding|수직 하향용접|NULL
Vertical Engine|직립기관|실린더가 직립 상하운동을 하는 기관
Vertical Keel|버티컬킬|판용골에 수직하게 붙는 중심선 종통재
Vertical Ladder (V/L|수직 사다리|NULL
Vertical Position|수직자세|용접선이 수직으로 되어있는 곳을 옆에서 수직방향으로 용접하는 자세
Vertical Prismatic Coefficient|연직주형(비척)계수|선박의 배수용적을 그 선박의 수선면과 같은 면적과 같은 흘수를 갖는 수직주상체의 체적으로 나눈 값
Vertical Section|수직 단면(垂直斷面|NULL
Vertical Stiffener|수직방요(垂直防搖)재|NULL
Vertical Web|연직(鉛直) 웨브|NULL
Vertical Web|연직(수직)웨브|격벽에 수직하게 붙은 큰 골재
Vertical Welding|수직 용접(垂直熔接|NULL
Very High Frequency|초단파|NULL
Vestigial Side Band|잔류 측파대|NULL
Vetilation Cock|통풍콕|통풍량을 조절하는 콕(잠금꼭지)
Vhuck|척|선반의 주축에 붙어서 가공물을 고정시켜주는 부속공구
Viable organisms|생존생물|종의 번식을 위해 새로운 개체를 성공적으로 생산할 능력을 지닌 생물을 말함. 선박평형수 관리협약의 제 D-2 규칙은 외래종 유입 및 확산 방지를 위한 방법의 하나로 선외 배출되는 선박평형수 내 생존생물의 개체 수를 제한하고 있음
Vibration|진동|짧은 주기로 반복되는 미소한 폭의 왕복운동
Vibration|진동(振動|NULL
Vibration Absorber|흡진기|진동에너지를 흡수하여 구조물의 진동 폭을 줄여주는 진동 제어장비의 일종
Vibration Damper|진동감쇠장치|기진력을 감쇠시킬 목적으로 기관 등에 붙이는 장치
Vibration Level|진동레벨|진동의 심한 정도를 나타내기 위해 진동속도 또는 가속도를 레벨로 표시한 값
Vibrator|진동기|NULL
Vice Admiral|해군중장|해군장교의 계급명
Victualler|식량수송선|식량을 보급하는 배
Video Response System|화상 응답 시스템|NULL
Vimration Feeder|진동피더|해저광물을 체로 쳐서 가려내는 장치
Vinyl Tile|비닐 타일|비닐재질로 된 타일
Virtual Reality|가상현실(假想現實|NULL
Virtual Work|가상적(假想的) 일|NULL
Viscometer|점도계(粘度計|NULL
Viscosimeter|점도계|액체의 점도를 측정하는 기기
Viscosity|점도|모양이 바뀌는 것에 저항하려는 액체의 성질
Viscosity Controller|점도조절(粘度調節)기|NULL
Viscous Pressure Resistance|점성압력저항|점성저항 중에 들어있는 압력저항 성분
Viscous Resistance|점성저항|유체의 점성에 기인되는 여러 현상 때문에 발생하는 저항셩분
Visibility|가시도(可視度|NULL
Visibility|시계|주간에 하늘을 배경으로 임의의 검은 목표물을 인지할 수 있는 최대거리
Visible Air Whistle|발연기적|기적을 울리면서 백색가루를 뿜어 마치 증기를 뿜는 것 처럼 보이게하는 기적
Visible radiation|가시 방사|NULL
Visual Display Terminal|영상 표시 단말장치|NULL
Visual Fluorescent Display|가시형광 표시장치|NULL
Visual Inspection|육안 검사(肉眼檢査|NULL
Visual Inspection : VI or Appearance Test : AT|육안검사|외관검사 참조
Vital Points|주요한 점，핵심|NULL
Voice Tube|전성관(傳聲管|NULL
Void Space|보이드 스페이스|NULL
Void Space|빈공간|특정한 사용목적이 없는 공간
Volatile Organic Compounds (VOCs)|휘발성유기화합물|증기압이 높아 대기 중으로 쉽게 증발하는 액체 또는 기체상 유기화합물의 총칭. 대기 중에서 광화학반응을 일으켜 오존 등 광화학 산화성 물질을 생성시켜 광화학스모그를 유발하는 물질을 일컫는다. 대기오염뿐만 아니라 발암성 물질이며, 지구온난화의 원인 물질이므로 국가마다 감축을 위해 정책적으로 관리함
Volatile Solvent|휘발성 용매제|NULL
Voltage|공칭 전압|NULL
Voltage|전압|NULL
Voltage Controlled|전압제어 발진기|NULL
Voltage Drop|전압강하(電壓降下|NULL
Voltage Frequency|전압 주파수 변환기|NULL
Voltage Reducing Device|전격방지장치|아크용접기에 쓰이는 안전장치로서 아크가 발생하지 않을 때는 용접기의 2차 부하전압을 낮게 유지시켜줌
Voltage Regulator|전압 조정기|NULL
Voltage Regulator|전압조정기|회로 중의 어떤 위치에서 전위차가 일정하도록 유지해 주는 기기
Voltage Standing Wave Ratio|전압 정재파비|NULL
Volts Alternating Current|교류 전압|NULL
Volume Unit|음량 단위|NULL
Volumetric Efficiency|용적 효율(容積效率|NULL
Volumetric Expansion Coefficient|체팽창(體膨脹)계수|NULL
Vortex|소용돌이|NULL
W-1 (One-man Watch Keeping|항해선교 자동화부호(DNV|NULL
WAEE|WAEE|WAEE (Western Asia and Eastern Europe), 동아시아와 서유럽 지역을 지칭하는 약자로 아시아와 유럽의 경계로써 의미가 있음
WALL & CEILING|선체도장 구역 구분시 사용|NULL
WATER BALLAST TANK|발라스트 탱크|NULL
WATER CLOSET|수세식 화장실|NULL
