영단어|한국단어|설명
Air Pipe Head|공기관 머리쇠|이중저 탱크나 기타 탱크 내의 공기가 빠지도록 설치된 배관이 갑판을 뚫고 올라온 윗 부분에 붙는 쇠붙이
Air Quenching|공기 담금질|강철을 변태점 이상의 온도에서 공기에 방치하여 냉각시킴으로 경화되게 하는 열처리방식
Air Resistance|공기저항|배가 전진할 때 공기에서 받는 저항
Air Separator|공기분리기|액체 중의 공기를 분리하는 기구
Air Support Vehicle|공기부양선|NULL
Air Test|기밀시험(氣密試驗|NULL
Air Vent|에어벤트|탱크 내의 압력상승을 막기 위하여 공기를 빼주는 관
Air Vent Head|공기배출 헤드|NULL
Air Whistle|에어휘슬|압축공기의 방출로 소리나게 하는 장치
Air and Light Space|채광통풍공간|채광과 통풍이 필요한 장소
Air-blast Circuit Breaker|공기 차단기|NULL
Air-blast Circuit Breaker|기중 차단기|NULL
Air-gap|에어갭|NULL
Airborne Collision|기상 충돌 방지 장치|NULL
Airborne Noise|공기전달 소음|NULL
Airfoil|에어포일|유체가 흐름 중에 놓였을 때 항력보다 큰 양력을 받도록 붙인 날개
Airplane Warning Light|항공장애표시등|항공장애물이 있다는 것을 항공기에게 알려주는 적색발광등
Aiternating Group Flashing Light|교색다섬광등|한 주기 동안 2회 이상의 섬광을 내며 등의 색이 변하는 항로표시등
Ajar Hook|어자훅|문을 열어놓고 더 이상 열리지 않도록 하는 고리
Ajar Hook|조정용 문고리|NULL
Alarm Signal|위급신호|조난선이 SOS를 발하기 전에 보내는 신호로 4초간의 신호를 1초 간격으로 12회 반복함
Alarm and Monitoring System|경보및 감시장치|NULL
Alcohol Engine|알코올기관|알코올을 사용하는 내연기관
Alcohol Thermometer|알코올온도계|착색알코올을 유리관에 봉한 온도계
Alignment|중심맞추기|두 개이상의 물체가 기준선에 놓이도록 맞추는 것
